Target Number,Thickness Factor
1,0.724238118917123
2,0.9058776840945781
3,1.0268162864610666
4,1.08973613614057
5,1.117702495603215
6,1.1280732171622279
7,1.1297913395458683
8,1.1247385178679805
9,1.107859507164251
10,1.0665084203706598
11,0.9796686211559302
12,0.8281010664886281
13,0.8367821767721884
14,0.9998906925055853
15,1.0877887124703725
16,1.1249435924731213
17,1.136303317055009
18,1.1372724596970274
19,1.1369731168758057
20,1.1373565329511854
21,1.1322901031338741
22,1.1095171042873078
23,1.0488860699129559
24,0.9218847676378099
25,0.9285480451065139
26,1.061594080967467
27,1.1203273956669357
28,1.1370778452633212
29,1.1328948195635438
30,1.122731284754908
31,1.1203602966889297
32,1.1288599440197875
33,1.137107444681799
34,1.1303406574415034
35,1.091190513285052
36,0.9905582165878775
37,0.9951818027015943
38,1.0985476732977895
39,1.134538625083068
40,1.1329679505385681
41,1.1085192316012584
42,1.0801871154686222
43,1.0751700016962502
44,1.0988723738642183
45,1.1272897808676914
46,1.137205102884959
47,1.11507997783211
48,1.0366906182166509
49,1.0396690257859877
50,1.1190150712547804
51,1.1373095334168526
52,1.115922242364345
53,1.0619438705248658
54,1.0094300609902886
55,1.002945462203951
56,1.0476492278639165
57,1.1058142336038992
58,1.1356311052608423
59,1.1274720943895806
60,1.0655444296727825
61,1.0673296661581693
62,1.1293550500629927
63,1.1335606115691736
64,1.090041180084143
65,1.0038771653057819
66,0.9368685074363171
67,0.9316931749933623
68,0.9904328261909487
69,1.0787147523174183
70,1.1301298644780422
71,1.1331296498267935
72,1.082079636510622
73,1.083015019665974
74,1.1338836364921883
75,1.1277465863118943
76,1.0646714092872287
77,0.9581003233020314
78,0.8872685033993212
79,0.8842795719093607
80,0.9506128842056556
81,1.0571577076812824
82,1.1251272334742084
83,1.1352046276148895
84,1.0896415039858498
85,1.0899312259676073
86,1.1353873220993207
87,1.124093556621116
88,1.0515666094521285
89,0.939215925837126
90,0.8656102818302542
91,0.8655839231352553
92,0.9392159258371259
93,1.0515666094521285
94,1.124093556621116
95,1.1353945507178809
96,1.0899312259676073
97,1.0896415039858498
98,1.1351970815449879
99,1.125124718823315
100,1.0571577076812826
101,0.9505935092559266
102,0.884299101503224
103,0.8872494415655365
104,0.9580757076258604
105,1.0646714092872285
106,1.127742642335381
107,1.1338930639456621
108,1.083015019665974
109,1.0820796365106218
110,1.133119296458743
111,1.1301298644780422
112,1.0787147523174185
113,0.9904328261909487
114,0.931709834887088
115,0.9368519554957966
116,1.0038771653057816
117,1.090041180084143
118,1.1335606115691736
119,1.129369045618104
120,1.0673296661581693
121,1.0655444296727825
122,1.1274565981248332
123,1.1356279615139975
124,1.1058142336038992
125,1.0476063497917534
126,1.0029596617248226
127,1.0094162466612953
128,1.0619028453034969
129,1.1159222423643451
130,1.137308629065478
131,1.119035973329269
132,1.0396690257859877
133,1.0366906182166509
134,1.1150569555437924
135,1.137205102884959
136,1.1272897808676914
137,1.0988723738642183
138,1.0751783245155906
139,1.0801793107531603
140,1.1085192316012584
141,1.1329679505385681
142,1.1345386250830685
143,1.098578138501898
144,0.9951818027015945
145,0.9905582165878775
146,1.0911571755295115
147,1.13035003001298
148,1.137107444681799
149,1.1288461351600754
150,1.120363526948366
151,1.1227283596892081
152,1.13288485967131
153,1.1370778452633212
154,1.1203435446612051
155,1.0616372848088953
156,0.9285480451065145
157,0.9218847676378099
158,1.0488391921211868
159,1.1095171042873078
160,1.1322901031338741
161,1.1373565329511854
162,1.1369735269411319
163,1.1372722267533875
164,1.136303317055009
165,1.1249435924731213
166,1.0877887124703725
167,0.9999493188049033
168,0.8367821767721886
169,0.8281010664886281
170,0.9796060556400736
171,1.066550780954665
172,1.1078595071642505
173,1.1247566482586824
174,1.1297898246163585
175,1.1280748874579873
176,1.1177258253384612
177,1.08973613614057
178,1.0268743451105848
179,0.9059506743516645
180,0.7242381189171233
