Target Number,Thickness Factor
1,0.7933054
2,0.8798735
3,0.9450551
4,0.9910096
5,1.0199239
6,1.0346622
7,1.0376213
8,1.0294513
9,1.0085692
10,0.9721259
11,0.9176345
12,0.8428775
13,0.84695864
14,0.92894506
15,0.9892987
16,1.0297555
17,1.0531186
18,1.0637282
19,1.0655107
20,1.0593369
21,1.0424317
22,1.010365
23,0.9594883
24,0.8877337
25,0.8910477
26,0.96848154
27,1.0232984
28,1.0568599
29,1.0729915
30,1.0781236
31,1.0786269
32,1.0758772
33,1.0648366
34,1.0386194
35,0.9923059
36,0.92365384
37,0.9262589
38,0.99913394
39,1.0476388
40,1.0729196
41,1.0795195
42,1.0766917
43,1.075842
44,1.0790721
45,1.0766243
46,1.0577794
47,1.0167193
48,0.95135045
49,0.95329857
50,1.0215886
51,1.0633935
52,1.0792224
53,1.073344
54,1.062479
55,1.061305
56,1.0703858
57,1.0794718
58,1.0692931
59,1.0336766
60,0.9714029
61,0.97274506
62,1.0368477
63,1.072298
64,1.0781333
65,1.0614682
66,1.0596002
67,1.0608705
68,1.0593308
69,1.0764493
70,1.0751482
71,1.0442438
72,0.9844347
73,0.9852171
74,1.0459939
75,1.0764223
76,1.0738837
77,1.0571631
78,1.0869676
79,1.0897822
80,1.0575708
81,1.0723743
82,1.0774397
83,1.0494751
84,0.99092567
85,0.99118245
86,1.0500168
87,1.0777594
88,1.0712128
89,1.0591215
90,1.1094809
91,1.1095102
92,1.0591215
93,1.0712128
94,1.0777594
95,1.0500386
96,0.99118257
97,0.99092567
98,1.049453
99,1.0774404
100,1.0723743
101,1.0575724
102,1.0897635
103,1.0869851
104,1.0571637
105,1.0738837
106,1.076424
107,1.0460167
108,0.9852171
109,0.9844347
110,1.0442206
111,1.0751482
112,1.0764493
113,1.0593308
114,1.060866
115,1.0596038
116,1.0614682
117,1.0781333
118,1.072298
119,1.0368723
120,0.97274506
121,0.9714029
122,1.0336515
123,1.0692993
124,1.0794718
125,1.0703766
126,1.0613074
127,1.0624764
128,1.0733358
129,1.0792224
130,1.0634023
131,1.0216154
132,0.95329857
133,0.95135045
134,1.0166918
135,1.0577794
136,1.0766243
137,1.0790721
138,1.0758435
139,1.0766906
140,1.0795195
141,1.0729196
142,1.0476388
143,0.99916327
144,0.9262589
145,0.92365384
146,0.99227595
147,1.0386367
148,1.0648366
149,1.0758845
150,1.0786263
151,1.0781244
152,1.0730011
153,1.0568599
154,1.0233197
155,0.96851313
156,0.8910477
157,0.8877337
158,0.9594561
159,1.010365
160,1.0424317
161,1.0593369
162,1.0655087
163,1.0637302
164,1.0531186
165,1.0297555
166,0.9892987
167,0.9289787
168,0.84695864
169,0.8428775
170,0.9176003
171,0.97215784
172,1.0085692
173,1.029478
174,1.0376184
175,1.0346651
176,1.0199531
177,0.9910096
178,0.9450915
179,0.87990904
180,0.7933055
